amfi_code,date,nav
118559,2022-01-03,564.9876959634794
118559,2022-01-04,565.2208913890832
118559,2022-01-05,572.5548934766641
118559,2022-01-06,575.4579374925323
118559,2022-01-07,575.7232499718815
118559,2022-01-10,575.8041983491312
118559,2022-01-11,569.382102391617
118559,2022-01-12,573.0164618839334
118559,2022-01-13,572.9119111256783
118559,2022-01-14,569.6326186196903
118559,2022-01-17,577.3668289961993
118559,2022-01-18,568.8780398957248
118559,2022-01-19,566.1645196654024
118559,2022-01-20,573.3166637223487
118559,2022-01-21,575.6593934392606
118559,2022-01-24,575.5014859621335
118559,2022-01-25,577.4075713526981
118559,2022-01-26,578.8239348333628
118559,2022-01-27,568.4630150195457
118559,2022-01-28,566.2510443515357
118559,2022-01-31,577.4052045658647
118559,2022-02-01,573.0100598842397
118559,2022-02-02,570.9932867043673
118559,2022-02-03,567.4534428529076
118559,2022-02-04,567.0311538291336
118559,2022-02-07,563.2334774328432
118559,2022-02-08,566.6922367825296
118559,2022-02-09,568.2040362010599
118559,2022-02-10,573.6488919370904
118559,2022-02-11,566.586531778967
118559,2022-02-14,564.4425197326534
118559,2022-02-15,563.0829630771991
118559,2022-02-16,566.3306921131181
118559,2022-02-17,561.1098852053954
118559,2022-02-18,567.4436069829003
118559,2022-02-21,575.6925273697639
118559,2022-02-22,569.033798075298
118559,2022-02-23,565.8526290016786
118559,2022-02-24,562.4104466813882
118559,2022-02-25,580.3449478299198
118559,2022-02-28,577.5251670647214
118559,2022-03-01,589.3248755798797
118559,2022-03-02,580.5441801274933
118559,2022-03-03,573.8239100763602
118559,2022-03-04,569.2681760836876
118559,2022-03-07,563.6618683941851
118559,2022-03-08,562.0189153422688
118559,2022-03-09,557.4073599363301
118559,2022-03-10,552.0940977352045
118559,2022-03-11,559.9347525842584
118559,2022-03-14,568.3256679608669
118559,2022-03-15,574.9702804596399
118559,2022-03-16,578.7581774612122
118559,2022-03-17,579.5759146071234
118559,2022-03-18,576.2929831759395
118559,2022-03-21,569.8742952886702
118559,2022-03-22,572.527600625495
118559,2022-03-23,564.6361293936909
118559,2022-03-24,558.0710762360333
118559,2022-03-25,565.9593880592681
118559,2022-03-28,579.0374578985075
118559,2022-03-29,581.9439605399701
